Airport_Code,Airport_Name,Late_Aircraft,Delays_NAS,Delays_Security,Delays_Weather,Flights_Cancelled,Flights_Delayed,Flights_Diverted,Flights_OnTime
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1275,3217,17,328,216,5843,27,23974
BOS,"Boston, MA: Logan International",495,685,3,66,138,1623,3,7875
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",477,389,8,78,29,1245,15,6998
CLT,"Charlotte, NC: Charlotte Douglas International",472,735,2,54,73,1562,14,7021
DCA,"Washington, DC: Ronald Reagan Washington National",268,487,4,58,74,1100,18,5321
DEN,"Denver, CO: Denver International",323,664,11,98,34,1611,22,10024
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1390,2147,19,258,394,4798,133,22303
DTW,"Detroit, MI: Detroit Metro Wayne County",371,570,6,71,123,1395,9,10227
EWR,"Newark, NJ: Newark Liberty International",519,1948,10,121,102,2921,42,9441
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",256,427,5,34,13,967,10,3672
IAD,"Washington, DC: Washington Dulles International",295,573,3,66,101,1256,35,7027
IAH,"Houston, TX: George Bush Intercontinental/Houston",730,1405,15,123,91,2601,173,12686
JFK,"New York, NY: John F. Kennedy International",226,394,21,28,24,1046,13,4695
LAS,"Las Vegas, NV: McCarran International",678,624,17,64,39,1893,6,9821
LAX,"Los Angeles, CA: Los Angeles International",765,842,37,97,101,2571,10,15780
LGA,"New York, NY: LaGuardia",338,867,4,94,121,1604,22,7161
MCO,"Orlando, FL: Orlando International",434,535,3,48,9,1388,9,6211
MDW,"Chicago, IL: Chicago Midway International",411,311,12,39,47,951,6,6057
MIA,"Miami, FL: Miami International",210,585,2,66,28,1105,22,3745
MSP,"Minneapolis, MN: Minneapolis-St Paul International",376,759,9,106,101,1678,11,10404
ORD,"Chicago, IL: Chicago O'Hare International",982,2947,11,157,261,4899,38,24997
PDX,"Portland, OR: Portland International",248,213,11,22,17,684,5,4040
PHL,"Philadelphia, PA: Philadelphia International",565,1083,1,64,83,2049,20,6917
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",569,664,19,41,57,1783,10,12158
SAN,"San Diego, CA: San Diego International",349,341,8,30,20,1052,4,5775
SEA,"Seattle, WA: Seattle/Tacoma International",552,454,28,36,63,1516,9,7658
SFO,"San Francisco, CA: San Francisco International",312,1080,14,59,83,1880,9,8211
SLC,"Salt Lake City, UT: Salt Lake City International",290,352,15,36,34,1057,0,9491
TPA,"Tampa, FL: Tampa International",327,524,3,42,12,1122,11,4256
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1791,4022,13,367,484,7452,71,22868
BOS,"Boston, MA: Logan International",587,609,0,61,226,1710,3,8033
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",646,544,4,102,57,1679,20,6855
CLT,"Charlotte, NC: Charlotte Douglas International",542,945,0,74,163,1895,24,6883
DCA,"Washington, DC: Ronald Reagan Washington National",270,573,3,74,181,1260,13,5241
DEN,"Denver, CO: Denver International",434,646,2,111,71,1753,9,10869
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1443,2081,18,244,274,5003,64,22982
DTW,"Detroit, MI: Detroit Metro Wayne County",448,816,4,145,175,1891,22,10104
EWR,"Newark, NJ: Newark Liberty International",706,1665,11,125,285,2917,59,9797
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",328,412,6,35,19,1041,1,3785
IAD,"Washington, DC: Washington Dulles International",406,671,10,84,217,1567,14,6990
IAH,"Houston, TX: George Bush Intercontinental/Houston",960,1506,9,115,90,3031,77,13269
JFK,"New York, NY: John F. Kennedy International",231,455,12,39,32,1082,24,5067
LAS,"Las Vegas, NV: McCarran International",760,570,8,99,73,1998,52,10083
LAX,"Los Angeles, CA: Los Angeles International",807,557,12,141,145,2380,10,16760
LGA,"New York, NY: LaGuardia",434,1060,0,105,285,1934,63,7012
MCO,"Orlando, FL: Orlando International",519,797,3,63,19,1834,10,6163
